,randomx,progpow,cuckatoo,height,timestamp
0,8090320,9670475917,12281,938450,1622423095
0,8090320,9610723378,12281,938451,1622423123
0,8116740,9610723378,12281,938452,1622423129
0,8116740,9500345344,12281,938453,1622423364
0,8177523,9500345344,12281,938454,1622423489
0,8009327,9500345344,12281,938455,1622423511
0,8009327,9551799547,12281,938456,1622423560
0,7939138,9551799547,12281,938457,1622423584
0,7939138,9586454403,12281,938458,1622423670
0,7891412,9586454403,12281,938459,1622423694
0,7859227,9586454403,12281,938460,1622423697
0,7859227,9620255822,12281,938461,1622423857
0,7898316,9620255822,12281,938462,1622423960
0,7898316,9635944102,12281,938463,1622424003
0,7830473,9635944102,12281,938464,1622424079
0,7824766,9635944102,12281,938465,1622424134
0,7824766,9621862179,12281,938466,1622424195
0,7788579,9621862179,12281,938467,1622424220
0,7788579,9621862179,12331,938468,1622424354
0,7821165,9621862179,12331,938469,1622424470
0,7821165,9595014737,12331,938470,1622424531
0,7766440,9595014737,12331,938471,1622424662
0,7766440,9537697292,12331,938472,1622424680
0,7720397,9537697292,12331,938473,1622424723
0,7787591,9537697292,12331,938474,1622424726
0,7787591,9453092198,12331,938475,1622424741
0,7782466,9453092198,12331,938476,1622424781
0,7801632,9453092198,12331,938477,1622424815
0,7801632,9475082764,12331,938478,1622424860
0,7875825,9475082764,12331,938479,1622424995
0,7875825,9484486845,12331,938480,1622425022
0,7847896,9484486845,12331,938481,1622425050
0,7855011,9484486845,12331,938482,1622425102
0,7855011,9390955929,12331,938483,1622425138
0,7856573,9390955929,12331,938484,1622425334
0,7856573,9349933796,12331,938485,1622425407
0,7938353,9349933796,12331,938486,1622425419
0,7941949,9349933796,12331,938487,1622425431
0,7941949,9228289980,12331,938488,1622425434
0,7940398,9228289980,12331,938489,1622425438
0,7940398,9261266048,12331,938490,1622425456
0,7936756,9261266048,12331,938491,1622425459
0,7931038,9261266048,12331,938492,1622425484
0,7931038,9285041934,12331,938493,1622425508
0,7989142,9285041934,12331,938494,1622425523
0,7996400,9285041934,12331,938495,1622425536
0,7996400,9268819695,12331,938496,1622425578
0,8005475,9268819695,12331,938497,1622425606
0,8005475,9263123112,12331,938498,1622425667
0,8028728,9263123112,12331,938499,1622425676
0,8096623,9263123112,12331,938500,1622425911
0,8096623,9383311813,12331,938501,1622425954
0,8135457,9383311813,12331,938502,1622425981
0,8135457,9326618542,12331,938503,1622426189
0,8150901,9326618542,12331,938504,1622426344
0,8020926,9326618542,12331,938505,1622426466
0,8020926,9326369809,12331,938506,1622426545
0,7925742,9326369809,12331,938507,1622426564
0,7925742,9237985566,12331,938508,1622426582
0,7887104,9237985566,12331,938509,1622426603
0,7861020,9237985566,12331,938510,1622426722
0,7861020,9263743104,12331,938511,1622426735
0,7868902,9263743104,12331,938512,1622426760
0,7868902,9200256386,12331,938513,1622426944
0,7894695,9200256386,12331,938514,1622426962
0,7790613,9200256386,12331,938515,1622426968
0,7790613,9184499166,12331,938516,1622426974
0,7833069,9184499166,12331,938517,1622427002
0,7833069,9184499166,12444,938518,1622427023
0,7833710,9184499166,12444,938519,1622427029
0,7816881,9218495649,12444,938522,1622427307
0,7723947,9218495649,12444,938523,1622427346
0,7789173,9218495649,12444,938524,1622427484
0,7789173,9263395153,12444,938525,1622427590
0,7853382,9263395153,12444,938526,1622427618
0,7873242,9263395153,12444,938527,1622427767
0,7873242,9195302436,12444,938528,1622427780
0,7938833,9195302436,12444,938529,1622427810
0,7938833,9098417375,12444,938530,1622427816
0,7956613,9098417375,12444,938531,1622427890
0,8076673,9098417375,12444,938532,1622427957
0,8076673,9112226830,12444,938533,1622427963
0,8055737,9112226830,12444,938534,1622427987
0,8055737,9232290586,12444,938535,1622428030
0,8101232,9232290586,12444,938536,1622428109
0,8067376,9232290586,12444,938537,1622428390
0,8067376,9249707632,12444,938538,1622428393
0,8032533,9249707632,12444,938539,1622428445
0,8032533,9063320381,12444,938540,1622428605
0,8068576,9063320381,12444,938541,1622428675
0,7984783,9063320381,12444,938542,1622428712
0,7984783,9045495279,12444,938543,1622428782
0,7935612,9045495279,12444,938544,1622428831
0,7993839,9045495279,12444,938545,1622428895
0,7993839,9028845351,12444,938546,1622428916
0,7963340,9028845351,12444,938547,1622428971
0,7963340,9037182434,12444,938548,1622428999
0,7957564,9037182434,12444,938549,1622429011
